,Time,Time_raw,SR,WT,SL,DL,interporated GSI_Female,interporated GSI_Male
303,303.0,2016-07-30,19.680000000000000,27.40416666666670,10.5,13.95,6.522109126445290,0.8903765422707120
304,304.0,2016-07-31,25.22,28.700000000000000,10.3,13.916666666666700,6.42410744793769,0.8960546695433780
305,305.0,2016-08-01,21.990000000000000,28.4875,8.3,13.883333333333300,6.346164879597400,0.9024603843120060
306,306.0,2016-08-02,19.24,27.54583333333330,7.4,13.866666666666700,6.289379065297260,0.9094749432262460
307,307.0,2016-08-03,20.5,27.958333333333300,10.3,13.833333333333300,6.254847648910140,0.9169796029357520
308,308.0,2016-08-04,22.060000000000000,28.525000000000000,10.7,13.8,6.243668274308890,0.9248556200901740
309,309.0,2016-08-05,23.590000000000000,28.995833333333300,11.3,13.766666666666700,6.256938585366340,0.9329842513391660
310,310.0,2016-08-06,23.530000000000000,29.6125,9.7,13.75,6.29575622595536,0.9412467533323780
311,311.0,2016-08-07,21.140000000000000,29.562500000000000,8.2,13.716666666666700,6.361218839948800,0.9495243827194630
312,312.0,2016-08-08,26.4,28.64166666666670,12.8,13.683333333333300,6.454424071219490,0.9576983961500730
313,313.0,2016-08-09,24.530000000000000,27.008333333333300,12.4,13.65,6.57646956364031,0.9656500502738590
314,314.0,2016-08-10,25.18,26.758333333333300,11.5,13.616666666666700,6.7284529610840900,0.973260601740472
315,315.0,2016-08-11,23.630000000000000,27.166666666666700,11.3,13.6,6.9101137238583700,0.9804099982208780
316,316.0,2016-08-12,17.97,27.6875,8.2,13.566666666666700,7.115758578009440,0.9869729514712940
317,317.0,2016-08-13,17.610000000000000,27.666666666666700,4.2,13.533333333333300,7.338336066018260,0.9928228642692470
318,318.0,2016-08-14,14.83,27.0375,4.2,13.5,7.5707947303657900,0.9978331393922680
319,319.0,2016-08-15,14.38,27.52916666666670,3.5,13.483333333333300,7.806083113533010,1.0018771796178800
320,320.0,2016-08-16,24.820000000000000,29.01666666666670,9.5,13.45,8.037149758000870,1.0048283877236200
321,321.0,2016-08-17,18.57,29.6,10.0,13.4,8.25694320625036,1.0065601664870200
322,322.0,2016-08-18,18.08,28.9,4.9,13.366666666666700,8.45841200076243,1.0069459186856000
323,323.0,2016-08-19,22.690000000000000,29.166666666666700,9.8,13.35,8.634504684018050,1.0058590470968800
324,324.0,2016-08-20,22.62,29.2125,4.6,13.316666666666700,8.778169798498190,1.0031729544984100
325,325.0,2016-08-21,22.93,28.766666666666700,10.1,13.283333333333300,8.88235588668382,0.9987610436677120
326,326.0,2016-08-22,17.88,28.120833333333300,3.2,13.233333333333300,8.940011491055900,0.9924967173823080
327,327.0,2016-08-23,22.19,28.8,9.3,13.216666666666700,8.944085154095400,0.9842533784197320
328,328.0,2016-08-24,9.870000000000000,27.875,6.0,13.183333333333300,8.887525418283280,0.9739044295575130
329,329.0,2016-08-25,11.2,27.412500000000000,7.8,13.133333333333300,8.763280826100510,0.9613232735731780
330,330.0,2016-08-26,19.950000000000000,28.250000000000000,11.5,13.116666666666700,8.564299920028070,0.9463833132442580
331,331.0,2016-08-27,10.79,26.883333333333300,3.4,13.083333333333300,8.286570309717770,0.9290188957125170
332,332.0,2016-08-28,9.390000000000000,25.97916666666670,0.9,13.05,7.938235873504850,0.909408145576665
333,333.0,2016-08-29,18.100000000000000,26.79583333333330,5.6,13.0,7.530479556895430,0.8877901317996470
334,334.0,2016-08-30,20.820000000000000,23.09166666666670,6.5,12.983333333333300,7.074484305395600,0.8644039233444100
335,335.0,2016-08-31,24.87,24.429166666666700,11.0,12.933333333333300,6.581433064511470,0.8394885891738980
336,336.0,2016-09-01,22.500000000000000,26.18333333333330,9.9,12.9,6.062508779749140,0.8132831982510580
337,337.0,2016-09-02,23.61,26.550000000000000,11.1,12.866666666666700,5.528894396614720,0.7860268195388350
338,338.0,2016-09-03,18.11,27.72083333333330,7.0,12.833333333333300,4.99177286061429,0.7579585220001750
339,339.0,2016-09-04,18.090000000000000,27.179166666666700,7.1,12.8,4.462327117253980,0.7293173745980230
340,340.0,2016-09-05,10.13,25.533333333333300,0.9,12.766666666666700,3.951740112039870,0.7003424462953260
341,341.0,2016-09-06,13.340000000000000,26.587500000000000,2.9,12.716666666666700,3.4711947904780700,0.6712728060550290
342,342.0,2016-09-07,19.92,28.2375,7.5,12.7,3.031874098074700,0.6423475228400770
343,343.0,2016-09-08,9.51,25.204166666666700,2.2,12.65,2.642623463343890,0.6137883075777420
344,344.0,2016-09-09,21.81,24.00416666666670,11.1,12.616666666666700,2.302938246832040,0.585747439052596
345,345.0,2016-09-10,23.820000000000000,25.266666666666700,10.8,12.6,2.0099762920935800,0.5583598380135370
346,346.0,2016-09-11,14.66,25.929166666666700,1.6,12.55,1.7608954426829500,0.5317604252094610
347,347.0,2016-09-12,10.020000000000000,26.4875,1.6,12.516666666666700,1.552853542154570,0.506084121389268
348,348.0,2016-09-13,5.78,25.04583333333330,0.0,12.466666666666700,1.3830084340629000,0.48146584730185400
349,349.0,2016-09-14,12.25,26.28333333333330,1.4,12.45,1.2485179619623600,0.4580405236961180
350,350.0,2016-09-15,11.22,25.141666666666700,1.6,12.4,1.1465399694073900,0.4359430713209560
351,351.0,2016-09-16,8.06,25.291666666666700,2.4,12.366666666666700,1.0742322999524200,0.41530841092526600
352,352.0,2016-09-17,9.670000000000000,26.10416666666670,3.6,12.333333333333300,1.0287527971519000,0.39627146325794700
353,353.0,2016-09-18,4.09,25.129166666666700,0.0,12.3,1.007259304560250,0.378967149067895
354,354.0,2016-09-19,10.620000000000000,25.683333333333300,2.8,12.266666666666700,1.0069096657319200,0.3635303891040090
355,355.0,2016-09-20,2.05,22.991666666666700,0.5,12.216666666666700,1.0248617242213400,0.3500961041151850
